arm,stage,global_step,local_step,loss,lr
quarter,1,25300,25300,0.9885685,0.0001
quarter,1,25350,25350,0.9882325,0.0001
quarter,1,25400,25400,0.9885564,0.0001
quarter,1,25450,25450,0.9885848,0.0001
quarter,1,25500,25500,0.9882536,0.0001
quarter,1,25550,25550,0.9886175,0.0001
quarter,1,25600,25600,0.9884593,0.0001
quarter,1,25650,25650,0.9882802,0.0001
quarter,1,25700,25700,0.9885527,0.0001
quarter,1,25750,25750,0.9884416,0.0001
quarter,1,25800,25800,0.9884396,0.0001
quarter,1,25850,25850,0.9885348,0.0001
quarter,1,25900,25900,0.9880726,0.0001
quarter,1,25950,25950,0.9881797,0.0001
quarter,1,26000,26000,0.988562,0.0001
quarter,1,26050,26050,0.9884825,0.0001
quarter,1,26100,26100,0.9885519,0.0001
quarter,1,26150,26150,0.9882868,0.0001
quarter,1,26200,26200,0.9884181,0.0001
quarter,1,26250,26250,0.988582,0.0001
quarter,1,26300,26300,0.9883535,0.0001
quarter,1,26350,26350,0.9884102,0.0001
quarter,1,26400,26400,0.9880238,0.0001
quarter,1,26450,26450,0.9883327,0.0001
quarter,1,26500,26500,0.9886279,0.0001
quarter,1,26550,26550,0.9885426,0.0001
quarter,1,26600,26600,0.9885904,0.0001
quarter,1,26650,26650,0.9885343,0.0001
quarter,1,26700,26700,0.9882089,0.0001
quarter,1,26750,26750,0.9884855,0.0001
quarter,1,26800,26800,0.9882418,0.0001
quarter,1,26850,26850,0.988489,0.0001
quarter,1,26900,26900,0.9884343,0.0001
quarter,1,26950,26950,0.9885922,0.0001
quarter,1,27000,27000,0.9881816,0.0001
quarter,1,27050,27050,0.9885402,0.0001
quarter,1,27100,27100,0.9880008,0.0001
quarter,1,27150,27150,0.9883838,0.0001
quarter,1,27200,27200,0.9883487,0.0001
quarter,1,27250,27250,0.9882339,0.0001
quarter,1,27300,27300,0.9883773,0.0001
quarter,1,27350,27350,0.9882734,0.0001
quarter,1,27400,27400,0.9883854,0.0001
quarter,1,27450,27450,0.9889162,0.0001
quarter,1,27500,27500,0.9882177,0.0001
quarter,1,27550,27550,0.9884655,0.0001
quarter,1,27600,27600,0.988475,0.0001
quarter,1,27650,27650,0.9882925,0.0001
quarter,1,27700,27700,0.988543,0.0001
quarter,1,27750,27750,0.9884099,0.0001
quarter,1,27800,27800,0.9882361,0.0001
quarter,1,27850,27850,0.9883587,0.0001
quarter,1,27900,27900,0.988351,0.0001
quarter,1,27950,27950,0.9885418,0.0001
quarter,1,28000,28000,0.9883844,0.0001
quarter,1,28050,28050,0.9880826,0.0001
quarter,1,28100,28100,0.9884636,0.0001
quarter,1,28150,28150,0.9882759,0.0001
quarter,1,28200,28200,0.9880188,0.0001
quarter,1,28250,28250,0.9882957,0.0001
quarter,1,28300,28300,0.9884333,0.0001
quarter,1,28350,28350,0.9882407,0.0001
quarter,1,28400,28400,0.9883103,0.0001
quarter,1,28450,28450,0.98802,0.0001
quarter,1,28500,28500,0.9886099,0.0001
quarter,1,28550,28550,0.9883037,0.0001
quarter,1,28600,28600,0.9884135,0.0001
quarter,1,28650,28650,0.9883342,0.0001
quarter,1,28700,28700,0.9882915,0.0001
quarter,1,28750,28750,0.9881965,0.0001
quarter,1,28800,28800,0.9885478,0.0001
quarter,1,28850,28850,0.9883633,0.0001
quarter,1,28900,28900,0.9885247,0.0001
quarter,1,28950,28950,0.9883917,0.0001
quarter,1,29000,29000,0.9881086,0.0001
quarter,1,29050,29050,0.9885787,0.0001
quarter,1,29100,29100,0.9882293,0.0001
quarter,1,29150,29150,0.9882265,0.0001
quarter,1,29200,29200,0.9883571,0.0001
quarter,1,29250,29250,0.9879042,0.0001
quarter,1,29300,29300,0.9887773,0.0001
quarter,1,29350,29350,0.9883646,0.0001
quarter,1,29400,29400,0.9880854,0.0001
quarter,1,29450,29450,0.9881026,0.0001
quarter,1,29500,29500,0.9883138,0.0001
quarter,1,29550,29550,0.9886715,0.0001
quarter,1,29600,29600,0.9883606,0.0001
quarter,1,29650,29650,0.9881057,0.0001
quarter,1,29700,29700,0.9884241,0.0001
quarter,1,29750,29750,0.9884356,0.0001
quarter,1,29800,29800,0.9884096,0.0001
quarter,1,29850,29850,0.9884649,0.0001
quarter,1,29900,29900,0.9884368,0.0001
quarter,1,29950,29950,0.9882334,0.0001
quarter,1,30000,30000,0.988404,0.0001
quarter,1,30050,30050,0.9881108,0.0001
quarter,1,30100,30100,0.9883042,0.0001
quarter,1,30150,30150,0.9883357,0.0001
quarter,1,30200,30200,0.9883552,0.0001
quarter,1,30250,30250,0.9885067,0.0001
quarter,1,30300,30300,0.9885239,0.0001
